"PlayerName","NFBC_ADP"
"Jose Ramirez",3.23
"Ronald Acuna Jr.",9.23
"Teoscar Hernandez",33.31
"Julio Urias",33.38
"Edwin Diaz",48.08
"Javier Baez",59.69
"Will Smith",64.15
"Will Smith",67.15
"Eloy Jimenez",74.77
"Jose Berrios",79.23
"Jose Abreu",92.31
"Carlos Rodon",138.77
"Pablo Lopez",141.92
"Luis Garcia",145.15
"Luis Urias",151.31
"Yoan Moncada",156.62
"Avisail Garcia",164.23
"Ranger Suarez",171.23
"Adolis Garcia",180.62
"Eugenio Suarez",205.54
"Jose Urquidy",225.85
"Enrique Hernandez",225.85
"Jesus Sanchez",227.23
"Christian Vazquez",228
"Ramon Laureano",229.38
"Andres Gimenez",247
"Elias Diaz",253.46
"Miguel Sano",254.69
"Gary Sanchez",263.62
"Spencer Torkelson",266.23
"Omar Narvaez",271.85
"Julio Rodriguez",276.92
"German Marquez",280
"Jesus Aguilar",283.92
"Josh Jung",291.23
"Jesus Luzardo",293.46
"Luis Patino",301.77
"Cesar Hernandez",316.23
"Vidal Brujan",330.77
"Yandy Diaz",349.69
"Nestor Cortes Jr.",363.69
"Sixto Sanchez",367.08
"Carlos Hernandez",377.15
"Jose Miranda",384.85
"Jonathan Loaisiga ",390.54
"Domingo German",391
"Carlos Estevez",401.62
"Alex Colome",445.31
"Jeremy Pena",446.77
"Leury Garcia",455.85
"Francisco Mejia",462.69
"Ramon Urias",466.08
"Nick Martinez",476.31
"Luis Garcia",477.46
"Juan Yepez",486.15
"Robinson Cano",489.54
"Edwin Rios",510.69
"Triston Casas",522.15
"Nick Pratto",522.15
"Nolan Gorman",523.23
"Jose Suarez",528.85
"Roberto Perez",533.23
"Aledmys Diaz",539.77
"Hector Neris",544.46
"Reynaldo Lopez",547.92
"Jose Quintana",552
"Andy Ibanez",554.62
"Richard Rodriguez",556.23
"Lewin Diaz",559.23
"Manny Pina",567.08
"Martin Maldonado",569.69
"Dom Nunez",603
"Andres Munoz",603.23
"Jose Iglesias",613
"Yimi Garcia",626.54
"Odubel Herrera",628.85
"Jose Alvarado",633
"Luis Garcia",636.85
"Emilio Pagan",639.31
"Mauricio Dubon",650.46
"Miguel Andujar",658.92
"Matt Liberatore",660.08
"Nolan Jones",681.46
"Deivi Garcia",695.92
"Vinnie Pasquantino",700.54
"Jose Leclerc",720.38
"Genesis Cabrera",722.31
"Elehuris Montero",725
"Yermin Mercedes",731.85
"Roberto Osuna",731.92
"Yoelkis Cespedes",733.92
"Miguel Vargas",734.62
"Asdrubal Cabrera",735.77
"Richie Palacios",737.46
"Logan T. Allen",738.77
"Sergio Alcantara",739.23
"Bobby Miller",741.15
"Carlos Martinez",742.23
"Brendan Donovan",744.54
"Tomas Nido",745.23
"Martin Perez",745.23
"Seranthony Dominguez",745.54
"Isan Diaz",745.92
"Michael Busch",747.31
"Mark Vientos",747.77
"Jose Cisnero",748.08
"Sandy Leon",748.69
"Peyton Battenfield",748.69
"Francisco Alvarez",749.54
"Jorge Lopez",749.62
"Colin Peluse",750
"Brett Baty",750
"Simeon Woods-Richardson",750.23
"Josh Lindblom",750.62
"Noe Ramirez",750.62
