"","team","spent","left","picks_left","total_points","R_points","HR_points","RBI_points","SB_points","AVG_points","ERA_points","WHIP_points","K_points","SV_points","W_points"
"1","evilempire",255,5,3,125.6,14.4,12.7,15.3,16.7,11.8,11.5,10.2,11.3,11.9,9.8
"2","isotopes",254,6,3,124.6,16.5,13.6,16,14.7,11.7,11.1,9.7,11.5,8.7,11.1
"3","bookhouse",260,0,0,123.5,14,12.5,15.1,12.2,12,12.3,11.6,11.4,12.3,10.1
"4","bears",255,5,5,123,16.3,16.8,18,12.7,10.9,9.8,9.4,8.5,13.8,6.8
"5","sturgeon",251,9,5,121.1,13.6,11.9,13.6,15.1,11.4,8.9,7.4,15.1,11.2,12.9
"6","shohei",245,15,6,117.3,13.6,13.5,14.4,15.8,7,10.3,10.4,15.4,5.8,11.1
"7","marmaduke",250,10,8,105.5,12.9,10.8,11.7,14.2,12.4,11.5,8.8,9.1,5.7,8.4
"8","pkdodgers",260,0,0,103.8,13.6,14.2,16.2,6.8,10.7,7.5,6.6,13.7,1,13.5
"9","ottawa",255,5,1,103.2,12.6,13.2,13.5,18,8.4,9.1,6.1,5.9,9.8,6.6
"10","pasadena",254,6,4,101.4,12.4,10.1,11.2,13.6,11.3,8.4,8.7,8.2,9.5,8
"11","balco",243,17,2,98.2,10.2,10.4,12.7,1.1,12.5,11.5,10.2,9.6,11.7,8.3
"12","dumpsterfire",254,6,2,98.1,10.8,10.4,11.3,8.6,8,9.6,9.6,11.5,7.2,11.1
"13","bellevegas",254,6,6,96.5,8.9,10.9,11.3,7,9,11.4,9.9,11.4,6.8,9.9
"14","hebrewhammer",254,6,5,94.1,8.8,10.6,12.1,2.4,10.4,10.6,10.4,9.2,11.4,8.2
"15","perpetual",196,64,0,92.4,13.2,14.3,16.2,7.6,7.9,8.3,6.1,5.9,3.7,9.2
"16","deano",247,13,8,88.1,7.6,6.2,7.9,6.4,11.5,11.1,11.4,11.6,4.5,9.9
"17","deener",256,4,0,83.7,11.3,13.3,12.8,7.1,10.5,5.3,3,5.8,7.2,7.4
"18","stircrazy",257,3,3,78.3,8.4,7.8,9.3,4.7,8.6,8,8.1,8.6,4.9,9.9
