"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Yordan Alvarez","HOU","146","628","553","155","32","1","37","93","110","62","145","7","1","1","",".280",".357",".546",".903",".379","145","","-0.4","0.0","","34.0","-16.5","3.9","","28.6","19556"
"Shohei Ohtani","LAA","147","657","554","143","25","5","39","106","99","89","182","5","24","9","",".258",".363",".534",".897",".372","137","","0.2","0.0","","30.0","-17.0","3.5","","8.5","19755"
"Giancarlo Stanton","NYY","138","597","520","139","24","1","39","90","102","65","162","5","1","1","",".268",".353",".539",".892",".376","141","","-1.8","0.0","","28.2","-15.9","3.3","","96.6","4949"
"Michael Brantley","HOU","125","561","506","148","29","2","15","76","66","43","70","6","2","1","",".292",".351",".446",".797",".343","121","","-0.8","-1.6","","13.4","-9.2","2.3","","250.4","4106"
"Franmil Reyes","CLE","149","634","563","141","22","2","38","85","101","62","189","4","4","2","",".250",".326",".501",".827",".349","122","","-2.0","0.0","","15.0","-17.4","1.9","","126.1","14566"
"J.D. Martinez","BOS","150","653","581","156","34","2","31","88","98","61","154","5","1","1","",".269",".342",".494",".836",".353","120","","-2.4","-0.5","","13.7","-17.3","1.9","","89.4","6184"
"Nelson Cruz","","133","580","513","137","22","1","32","79","90","53","136","8","2","1","",".267",".342",".500",".842",".353","123","","-2.7","0.0","","13.9","-15.5","1.8","","175.3","2434"
"Austin Meadows","TBR","141","615","543","133","28","3","27","80","83","59","137","7","7","3","",".245",".324",".455",".779",".332","116","","-1.6","-0.5","","10.5","-13.7","1.8","","135.7","15672"
"Jorge Soler","","146","631","546","130","27","1","33","86","89","70","163","8","1","1","",".238",".332",".470",".801",".343","116","","-2.1","-2.9","","10.6","-15.8","1.6","","197.4","14221"
"Trey Mancini","BAL","149","657","582","149","30","1","25","80","82","59","149","9","1","1","",".255",".330",".441",".771",".331","108","","-0.8","0.7","","5.7","-14.6","1.3","","193.0","15149"
"Willie Calhoun","TEX","123","529","476","127","22","4","20","68","66","40","79","5","4","2","",".267",".329",".457",".786",".337","115","","-1.6","-1.9","","8.0","-13.3","1.3","","433.6","17838"
"Rowdy Tellez","MIL","112","464","414","107","21","2","23","60","68","39","101","6","1","1","",".258",".328",".482",".810",".342","112","","-0.8","-0.3","","6.3","-10.4","1.1","","316.5","15679"
"Gavin Sheets","CHW","110","453","407","105","18","1","21","57","62","37","101","4","2","1","",".257",".321",".455",".776",".333","112","","-0.9","-1.2","","5.6","-10.6","1.0","","487.0","19901"
"Yoshi Tsutsugo","PIT","123","545","470","111","22","2","21","70","64","64","136","4","2","1","",".235",".329",".426",".755",".327","104","","-0.7","1.1","","2.3","-10.0","1.0","","367.4","27459"
"Jed Lowrie","","107","454","403","101","23","1","13","52","53","42","96","4","1","0","",".251",".325",".406",".732",".318","99","","-1.6","-1.1","","-2.0","-4.3","0.9","","594.2","4418"
"Seth Beer","ARI","89","360","319","82","18","1","14","44","46","26","73","12","1","1","",".259",".333",".447",".781",".336","107","","-0.4","0.1","","3.0","-9.1","0.6","","551.4","20493"
"Mitch Moreland","","92","382","341","82","16","1","18","47","53","33","88","3","1","1","",".241",".312",".453",".765",".327","105","","-1.4","-0.2","","1.0","-9.0","0.5","","600.9","3086"
"Nick Fortes","MIA","30","121","109","28","5","0","4","13","14","8","20","2","1","1","",".256",".315",".411",".726",".314","99","","-0.1","-0.4","","-0.2","2.1","0.5","","592.5","21538"
"Daniel Vogelbach","","42","176","145","34","6","0","7","23","21","27","41","1","1","0","",".233",".356",".428",".783",".342","115","","-0.7","0.2","","2.7","-4.2","0.4","","600.3","14130"
"Jake Burger","CHW","13","52","48","12","2","0","3","7","8","3","15","1","0","0","",".255",".306",".477",".782",".331","111","","0.0","0.0","","0.6","0.2","0.3","","590.2","22275"
"Luis Torrens","SEA","71","288","260","61","12","1","10","31","34","22","71","2","1","0","",".235",".297",".405",".702",".302","95","","-0.3","-0.4","","-2.1","-3.8","0.1","","396.2","15905"
"Renato Núñez","","23","96","86","21","4","0","4","12","13","7","25","2","0","0","",".241",".307",".445",".752",".322","102","","-0.2","0.2","","0.1","-2.0","0.1","","599.6","14503"
"Khris Davis","","53","217","194","45","7","1","12","27","31","18","59","2","1","0","",".231",".301",".458",".759",".323","103","","-0.6","0.0","","0.2","-6.2","0.1","","999.0","9112"
"Taylor Jones","HOU","15","59","53","13","3","0","2","7","7","5","15","1","0","0","",".246",".318",".412",".730",".316","102","","-0.1","0.0","","0.1","-1.0","0.1","","999.0","19533"
"Miguel Cabrera","DET","122","527","474","122","20","1","17","59","64","44","121","5","1","0","",".256",".323",".407",".730",".317","100","","-3.3","-0.5","","-3.4","-13.8","0.1","","495.1","1744"
"Bryan Arias","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".274",".377",".651",".282","79","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3011265"
"Kevin Cron","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".313",".456",".769",".328","106","","0.0","0.0","","0.0","0.0","0.0","","999.0","16211"
"Yermín Mercedes","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".260",".314",".439",".753",".322","105","","0.0","0.0","","0.0","0.0","0.0","","585.6","17423"
"Rangel Ravelo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".260",".330",".426",".755",".327","105","","0.0","0.0","","0.0","0.0","0.0","","999.0","10839"
"Daniel Palka","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".313",".420",".734",".315","102","","0.0","0.0","","0.0","0.0","0.0","","999.0","14897"
"Logan Morrison","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".307",".452",".759",".324","104","","0.0","0.0","","0.0","0.0","0.0","","999.0","9205"
"Yohel Pozo","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".269",".299",".453",".752",".320","103","","0.0","0.0","","0.0","0.0","0.0","","600.7","18848"
"Matt Davidson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".300",".449",".750",".320","101","","0.0","0.0","","0.0","0.0","0.0","","999.0","7226"
"Welington Castillo","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".277",".363",".640",".278","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","3256"
"Shin-Soo Choo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".318",".365",".683",".301","88","","0.0","0.0","","0.0","0.0","0.0","","999.0","3174"
"Curtis Terry","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".290",".413",".703",".302","90","","0.0","0.0","","0.0","0.0","0.0","","999.0","18881"
"Yonder Alonso","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".302",".392",".694",".301","88","","0.0","0.0","","0.0","0.0","0.0","","999.0","2530"
"Kendrys Morales","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".306",".377",".683",".299","87","","0.0","0.0","","0.0","0.0","0.0","","999.0","8610"
"ByungHo Park","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".287",".372",".659",".287","79","","0.0","0.0","","0.0","0.0","0.0","","999.0","18497"
"Edwin Encarnación","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".293",".386",".679",".296","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","2151"
"Matt Skole","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".301",".364",".665",".292","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","12119"
"Jorge Oña","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".290",".368",".658",".287","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","20040"
"Ronnie Dawson","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".292",".357",".649",".284","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","19710"
"Lucas Duda","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".275",".387",".663",".286","78","","0.0","0.0","","0.0","0.0","0.0","","999.0","2502"
"Mark Trumbo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".280",".377",".657",".285","78","","0.0","0.0","","0.0","0.0","0.0","","999.0","6876"
"Matt Kemp","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".286",".374",".660",".286","78","","0.0","0.0","","0.0","0.0","0.0","","999.0","5631"
"Terrance Gore","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".276",".282",".558",".252","56","","0.0","0.0","","-0.1","0.0","0.0","","999.0","13658"
"Yasmany Tomás","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".265",".389",".654",".281","75","","0.0","0.0","","0.0","0.0","0.0","","999.0","17171"
"Hunter Pence","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".279",".358",".638",".278","73","","0.0","0.0","","0.0","0.0","0.0","","999.0","8252"
"Sean Kazmar Jr.","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".271",".339",".610",".265","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","7349"
"Yoenis Céspedes","","60","245","221","51","10","1","10","28","31","17","74","3","3","1","",".231",".294",".420",".714",".307","92","","-0.5","-0.8","","-2.9","-6.5","-0.1","","999.0","13110"
